i,time,loss,ce,kl,accuracy
257200,28056.09706926346,0.12024030089378357,0.05233793705701828,0.7709195017814636,0.9645000696182251
257300,28066.844375371933,0.11496175825595856,0.0470883771777153,0.7705904841423035,0.9807499647140503
257400,28077.36237168312,0.17297720909118652,0.10607260465621948,0.7595915198326111,0.9740000367164612
257500,28087.99804377556,0.20923170447349548,0.1401863992214203,0.7838958501815796,0.9762499928474426
257600,28098.59913301468,0.13608819246292114,0.06617848575115204,0.7937096953392029,0.9752500653266907
257700,28109.247864961624,0.14446015655994415,0.0729084461927414,0.8123518228530884,0.9760000109672546
257800,28119.69296312332,0.1436007022857666,0.06628042459487915,0.8778444528579712,0.9757500290870667
257900,28130.434183835983,0.12033985555171967,0.05180956795811653,0.7780485153198242,0.9730000495910645
258000,28141.11738395691,0.15820950269699097,0.08484675735235214,0.8329131603240967,0.9682499766349792
258100,28151.835030794144,0.10866010189056396,0.039252858608961105,0.7880048751831055,0.9742499589920044
258200,28162.396411657333,0.152239590883255,0.08367730677127838,0.778411865234375,0.9670001268386841
258300,28172.982189655304,0.12726736068725586,0.058569543063640594,0.7799506783485413,0.971000075340271
258400,28183.542135238647,0.12929007411003113,0.06361772865056992,0.7456012964248657,0.9772499203681946
258500,28194.19444012642,0.14643767476081848,0.07954821735620499,0.7594195008277893,0.9769999980926514
258600,28204.700114250183,0.11082376539707184,0.04485160857439041,0.7490051984786987,0.9747500419616699
258700,28215.46265721321,0.18883922696113586,0.12144394963979721,0.7651624083518982,0.971500039100647
258800,28225.88641810417,0.1238890290260315,0.05641595274209976,0.7660456895828247,0.9752500653266907
258900,28236.617959022522,0.13243468105793,0.062289584428071976,0.7963820695877075,0.9807499647140503
259000,28247.155428647995,0.11902602016925812,0.055359847843647,0.7228245735168457,0.9797500371932983
259100,28257.76973938942,0.128317728638649,0.05971573665738106,0.7788625955581665,0.9764999151229858
259200,28268.203639030457,0.12201504409313202,0.05383755639195442,0.774043083190918,0.9760000705718994
259300,28278.87379693985,0.12294214218854904,0.05054372549057007,0.8219648003578186,0.9747500419616699
259400,28289.331223249435,0.11292026937007904,0.04609852656722069,0.7586507797241211,0.9692500233650208
259500,28300.04358148575,0.15527772903442383,0.08495501428842545,0.798398494720459,0.9755000472068787
259600,28310.641780376434,0.1634281873703003,0.09600186347961426,0.7655149102210999,0.9719999432563782
259700,28321.370336055756,0.1270463466644287,0.05607038736343384,0.8058151602745056,0.9782499670982361
259800,28332.030930519104,0.10953213274478912,0.04283168911933899,0.7572736740112305,0.9765000343322754
259900,28342.91979622841,0.11761441081762314,0.0503869354724884,0.7632572650909424,0.9780000448226929
260000,28353.444013118744,0.12483260780572891,0.06252143532037735,0.7074407339096069,0.9720000624656677
260100,28364.17170572281,0.1386166512966156,0.07101519405841827,0.7675032615661621,0.9750000238418579
260200,28374.59429001808,0.12044067680835724,0.05177829787135124,0.779548168182373,0.9802500009536743
