i,time,loss,ce,kl,accuracy,prec
327000,1705857640.4676225,0.19647671282291412,0.05295099690556526,0.14352571964263916,0.9752500057220459,0.5400000214576721
327100,1705857651.235008,0.24211636185646057,0.08927197009325027,0.1528443843126297,0.9712499976158142,0.44999998807907104
327200,1705857661.990542,0.21324197947978973,0.06256161630153656,0.15068036317825317,0.9737499952316284,0.4399999976158142
327300,1705857672.7761865,0.21070855855941772,0.06219124048948288,0.14851731061935425,0.9800000190734863,0.5400000214576721
327400,1705857683.4780407,0.22605863213539124,0.07879708707332611,0.14726154506206512,0.9757499694824219,0.47999998927116394
327500,1705857694.0767639,0.22989268600940704,0.0814080685377121,0.14848461747169495,0.9687500596046448,0.4399999976158142
327600,1705857704.64217,0.22951075434684753,0.08085427433252335,0.14865648746490479,0.9769999980926514,0.5199999809265137
327700,1705857715.2358282,0.2234169840812683,0.0768985003232956,0.14651848375797272,0.9767501354217529,0.4399999976158142
327800,1705857725.9896197,0.2568221092224121,0.10674639046192169,0.15007570385932922,0.9769999980926514,0.5299999713897705
327900,1705857736.6886282,0.20853427052497864,0.0657973363995552,0.14273692667484283,0.9822500348091125,0.5799999833106995
328000,1705857747.3897955,0.1808229237794876,0.040408503264188766,0.14041441679000854,0.9702499508857727,0.44999998807907104
328100,1705857758.0658505,0.19222725927829742,0.0531173050403595,0.13910995423793793,0.9742500185966492,0.44999998807907104
328200,1705857768.7610414,0.19019220769405365,0.048849206417798996,0.14134299755096436,0.9802500009536743,0.5299999713897705
328300,1705857779.450468,0.22108468413352966,0.08004231005907059,0.14104238152503967,0.9785000085830688,0.5299999713897705
328400,1705857790.1012106,0.22319389879703522,0.08057814836502075,0.14261575043201447,0.9702499508857727,0.4399999976158142
328500,1705857800.9005284,0.17368119955062866,0.03698117285966873,0.13670003414154053,0.969249963760376,0.3799999952316284
328600,1705857811.5382934,0.21824894845485687,0.0718926340341568,0.14635631442070007,0.967750072479248,0.4399999976158142
328700,1705857822.2972553,0.20439916849136353,0.06471730023622513,0.139681875705719,0.9757499694824219,0.47999998927116394
328800,1705857832.9608068,0.18652695417404175,0.04524075239896774,0.1412862092256546,0.9682499766349792,0.3700000047683716
328900,1705857843.81323,0.22728422284126282,0.08367431908845901,0.1436099112033844,0.9767501354217529,0.47999998927116394
329000,1705857854.4639194,0.21344563364982605,0.06677832454442978,0.14666730165481567,0.9720001220703125,0.4000000059604645
329100,1705857865.1501071,0.38435858488082886,0.06086014583706856,0.3234984278678894,0.981749951839447,0.5799999833106995
329200,1705857875.7921422,0.2156485617160797,0.06562108546495438,0.15002748370170593,0.9735000133514404,0.49000000953674316
329300,1705857886.5071185,0.23063552379608154,0.08519089221954346,0.14544463157653809,0.9767499566078186,0.47999998927116394
329400,1705857897.086658,0.19873575866222382,0.0548887737095356,0.14384698867797852,0.9737500548362732,0.44999998807907104
329500,1705857907.7661533,0.19186913967132568,0.04801683872938156,0.14385230839252472,0.9800000190734863,0.5299999713897705
329600,1705857918.4493935,0.20946213603019714,0.07170730084180832,0.13775482773780823,0.9702500104904175,0.4399999976158142
329700,1705857929.1068416,0.2087695151567459,0.06624434888362885,0.14252516627311707,0.9760000109672546,0.5400000214576721
329800,1705857939.6984146,0.20917968451976776,0.06733696162700653,0.14184272289276123,0.981749951839447,0.5899999737739563
329900,1705857950.3660815,0.21475514769554138,0.06875826418399811,0.14599688351154327,0.9727500081062317,0.4300000071525574
330000,1705857960.9888573,0.1938043087720871,0.05469382926821709,0.1391104757785797,0.9784998893737793,0.5199999809265137
330100,1705857971.6865065,0.22160309553146362,0.07160216569900513,0.1500009298324585,0.9697499871253967,0.4699999988079071
330200,1705857982.3962126,0.25243079662323,0.10652683675289154,0.14590395987033844,0.9705000519752502,0.49000000953674316
330300,1705857993.0699046,0.2527065575122833,0.11018874496221542,0.1425178200006485,0.9754999279975891,0.5199999809265137
330400,1705858003.7516634,0.2012610137462616,0.05893365293741226,0.14232736825942993,0.9762499928474426,0.47999998927116394
330500,1705858014.3791277,0.23754942417144775,0.09350337088108063,0.14404605329036713,0.9755000472068787,0.4699999988079071
330600,1705858025.0368226,0.1875888705253601,0.044014379382133484,0.14357449114322662,0.9767500162124634,0.5299999713897705
330700,1705858035.78935,0.21175608038902283,0.0737551897764206,0.13800089061260223,0.9754999279975891,0.4699999988079071
330800,1705858046.4822612,0.19192436337471008,0.050582658499479294,0.1413417011499405,0.9667499661445618,0.47999998927116394
330900,1705858057.1371787,0.18826596438884735,0.05060993507504463,0.13765603303909302,0.9725000262260437,0.5
331000,1705858067.8162215,0.19290493428707123,0.054843056946992874,0.13806188106536865,0.9732500314712524,0.46000000834465027
331100,1705858078.5730283,0.2200380265712738,0.07304080575704575,0.14699721336364746,0.9765000343322754,0.5
331200,1705858089.2309575,0.21269121766090393,0.07162098586559296,0.14107023179531097,0.9810000658035278,0.5899999737739563
331300,1705858099.839897,0.20758119225502014,0.06459711492061615,0.142984077334404,0.9780000448226929,0.47999998927116394
331400,1705858110.588299,0.2009201943874359,0.061563801020383835,0.13935638964176178,0.9727500081062317,0.46000000834465027
331500,1705858121.1324885,0.21623438596725464,0.07501652091741562,0.14121787250041962,0.9725000262260437,0.49000000953674316
331600,1705858131.8476536,0.21540309488773346,0.0707067996263504,0.14469629526138306,0.981249988079071,0.5299999713897705
331700,1705858142.503191,0.2150038480758667,0.07076405733823776,0.14423979818820953,0.9797499775886536,0.49000000953674316
331800,1705858153.1297882,0.19202402234077454,0.04098737984895706,0.15103664994239807,0.9725000262260437,0.46000000834465027
331900,1705858163.9266253,0.19600261747837067,0.05510661005973816,0.1408960074186325,0.9772500395774841,0.44999998807907104
332000,1705858174.6264777,0.1769338995218277,0.042097944766283035,0.13483595848083496,0.9765000939369202,0.550000011920929
332100,1705858185.3558936,0.19523823261260986,0.053208548575639725,0.14202968776226044,0.9777500033378601,0.4699999988079071
332200,1705858196.0824428,0.2555428147315979,0.11263243108987808,0.14291039109230042,0.9750000238418579,0.5099999904632568
332300,1705858206.8620853,0.2298741340637207,0.09011930227279663,0.13975483179092407,0.9777500033378601,0.47999998927116394
332400,1705858217.6069305,0.20422571897506714,0.06274963170289993,0.1414760947227478,0.9787499904632568,0.5
332500,1705858228.4248135,0.23208662867546082,0.08589404076337814,0.14619259536266327,0.9807499647140503,0.6000000238418579
332600,1705858239.0668645,0.19515132904052734,0.05596814304590225,0.1391831785440445,0.9762499928474426,0.5799999833106995
